date,station,precipitation
2020-01-01T00:00:00,GHCND:US1CALA0023,0.0
2020-01-01T00:00:00,GHCND:US1CALA0031,0.0
2020-01-01T00:00:00,GHCND:US1CALA0036,0.0
2020-01-01T00:00:00,GHCND:US1CALA0043,0.0
2020-01-01T00:00:00,GHCND:US1CALA0048,0.0
2020-01-01T00:00:00,GHCND:US1CALA0054,0.0
2020-01-01T00:00:00,GHCND:US1CALA0064,0.0
2020-01-01T00:00:00,GHCND:US1CALA0068,0.0
2020-01-01T00:00:00,GHCND:US1CALA0077,0.0
2020-01-01T00:00:00,GHCND:US1CALA0081,0.0
2020-01-01T00:00:00,GHCND:US1CALA0085,0.0
2020-01-01T00:00:00,GHCND:US1CALA0089,0.0
2020-01-01T00:00:00,GHCND:US1CALA0090,0.0
2020-01-01T00:00:00,GHCND:US1CALA0091,0.0
2020-01-01T00:00:00,GHCND:US1CALA0092,0.0
2020-01-01T00:00:00,GHCND:US1CALA0096,0.0
2020-01-01T00:00:00,GHCND:US1CALA0097,0.0
2020-01-01T00:00:00,GHCND:US1CALK0009,0.3
2020-01-01T00:00:00,GHCND:US1CALS0001,0.0
2020-01-01T00:00:00,GHCND:US1CALS0002,0.0
2020-01-01T00:00:00,GHCND:US1CAMA0002,0.0
2020-01-01T00:00:00,GHCND:US1CAMA0003,0.0
2020-01-01T00:00:00,GHCND:US1CAMA0004,0.0
2020-01-01T00:00:00,GHCND:US1CAMA0007,0.0
2020-01-01T00:00:00,GHCND:US1CAMA0008,0.0
2020-01-01T00:00:00,GHCND:US1CAMA0009,0.0
2020-01-01T00:00:00,GHCND:US1CAMA0012,0.0
2020-01-01T00:00:00,GHCND:US1CAMA0016,0.0
2020-01-01T00:00:00,GHCND:US1CAMD0001,0.0
2020-01-01T00:00:00,GHCND:US1CAMD0003,0.0
2020-01-01T00:00:00,GHCND:US1CAMD0014,0.0
2020-01-01T00:00:00,GHCND:US1CAMD0017,0.0
2020-01-01T00:00:00,GHCND:US1CAMD0021,0.0
2020-01-01T00:00:00,GHCND:US1CAMD0022,1.3
2020-01-01T00:00:00,GHCND:US1CAMD0026,0.5
2020-01-01T00:00:00,GHCND:US1CAMD0033,0.8
2020-01-01T00:00:00,GHCND:US1CAMD0034,0.0
2020-01-01T00:00:00,GHCND:US1CAMD0038,0.5
2020-01-01T00:00:00,GHCND:US1CAMD0039,0.0
2020-01-01T00:00:00,GHCND:US1CAMD0040,0.0
2020-01-01T00:00:00,GHCND:US1CAME0004,0.0
2020-01-01T00:00:00,GHCND:US1CAMN0001,0.0
2020-01-01T00:00:00,GHCND:US1CAMN0004,0.0
2020-01-01T00:00:00,GHCND:US1CAMP0001,0.0
2020-01-01T00:00:00,GHCND:US1CAMP0002,0.0
2020-01-01T00:00:00,GHCND:US1CAMP0008,0.0
2020-01-01T00:00:00,GHCND:US1CAMR0005,0.0
2020-01-01T00:00:00,GHCND:US1CAMR0009,0.0
2020-01-01T00:00:00,GHCND:US1CAMR0025,0.0
2020-01-01T00:00:00,GHCND:US1CAMR0029,0.0
2020-01-01T00:00:00,GHCND:US1CAMR0030,0.0
2020-01-01T00:00:00,GHCND:US1CAMR0032,0.8
2020-01-01T00:00:00,GHCND:US1CAMR0037,0.0
2020-01-01T00:00:00,GHCND:US1CAMT0003,0.0
2020-01-01T00:00:00,GHCND:US1CAMT0006,0.0
2020-01-01T00:00:00,GHCND:US1CAMT0019,0.0
2020-01-01T00:00:00,GHCND:US1CAMT0020,0.0
2020-01-01T00:00:00,GHCND:US1CAMT0033,0.0
